timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
197063.431877,1.007368,1.015307,1.052180,-0.008118,-0.007015,-0.010887,0.999993,0.002962,-0.002385,0.000048,-0.004310,-0.002203,0.000000
197063.482024,1.007471,1.015331,1.051593,-0.008316,-0.008148,-0.010696,0.999993,0.002830,-0.002434,0.000047,-0.004223,-0.002131,0.000000
197063.532161,1.007562,1.015303,1.051014,-0.008560,-0.009132,-0.010551,0.999993,0.002737,-0.002508,0.000047,-0.003196,-0.002124,0.000000
197063.582307,1.007636,1.015229,1.050436,-0.008888,-0.010017,-0.010521,0.999993,0.002633,-0.002549,0.000047,-0.004225,-0.001452,0.000000
197063.847864,1.007680,1.014283,1.047405,-0.010887,-0.012634,-0.010162,0.999995,0.002037,-0.002515,0.000045,-0.005326,0.002131,0.000000
197063.897993,1.007639,1.014064,1.046857,-0.011047,-0.012657,-0.010147,0.999995,0.001949,-0.002489,0.000045,-0.002131,0.001106,0.000000
197063.948135,1.007573,1.013830,1.046535,-0.011238,-0.012566,0.002428,0.999997,0.001288,-0.002201,0.000044,-0.076563,0.033679,-0.000049
197063.998263,1.007533,1.013658,1.048136,-0.010971,-0.011345,0.045502,0.999999,-0.000326,-0.001531,0.000005,-0.056246,0.017010,-0.003202
197064.130394,1.007613,1.013857,1.056003,-0.008461,-0.003143,0.055664,0.999997,-0.001880,-0.001293,-0.000584,0.000038,-0.006396,-0.011684
197064.180528,1.007728,1.014249,1.058599,-0.007618,0.000448,0.050934,0.999997,-0.001825,-0.001355,-0.000817,0.001207,0.007887,-0.002710
197064.230647,1.007883,1.014820,1.061713,-0.006744,0.003914,0.063416,0.999998,-0.001589,-0.001302,-0.000808,0.021169,-0.006238,0.004508
197064.280788,1.008083,1.015553,1.065311,-0.005928,0.006962,0.070190,0.999998,-0.001020,-0.001543,-0.000658,0.025566,-0.016022,0.007461
197064.534231,1.009196,1.020328,1.079215,-0.006237,0.010666,0.030975,0.999992,0.002838,-0.002592,-0.001161,0.026623,-0.000075,-0.006387
197064.584356,1.009368,1.021228,1.080989,-0.006706,0.009033,0.031677,0.999991,0.003275,-0.002428,-0.001268,-0.002169,0.019788,0.001044
197064.634469,1.009527,1.022040,1.083485,-0.006836,0.007324,0.049042,0.999992,0.003210,-0.002019,-0.001153,-0.008173,0.011633,0.008569
197064.684585,1.009693,1.022773,1.086580,-0.006615,0.005783,0.058655,0.999993,0.003032,-0.001746,-0.000937,-0.003799,0.009127,0.007005
197064.936936,1.010895,1.025533,1.098300,-0.004158,-0.000055,0.023392,0.999993,0.002735,-0.001739,-0.001583,0.000000,-0.005377,-0.006396
197064.987094,1.011199,1.025934,1.099701,-0.003866,-0.001019,0.024445,0.999994,0.002504,-0.001751,-0.001718,-0.036134,0.011769,-0.002203
197065.037201,1.011519,1.026303,1.101927,-0.003445,-0.001432,0.044495,0.999996,0.001752,-0.001522,-0.001739,-0.025958,0.007457,0.000000
197065.087335,1.011870,1.026681,1.104859,-0.002831,-0.001163,0.056183,0.999997,0.001197,-0.001411,-0.001728,-0.015238,-0.003692,0.000000
197065.211674,1.012899,1.027849,1.111912,-0.001910,0.001090,0.039124,0.999995,0.000834,-0.002194,-0.002059,0.005147,-0.013848,-0.009587
197065.261802,1.013292,1.028382,1.113972,-0.002182,0.001986,0.037628,0.999995,0.000800,-0.002271,-0.002254,-0.014428,0.016848,-0.002119
197065.311922,1.013618,1.028923,1.116778,-0.002556,0.002844,0.054382,0.999995,0.000582,-0.002014,-0.002240,-0.002697,0.000793,0.004299
197065.362054,1.014003,1.029570,1.120166,-0.002516,0.004036,0.064270,0.999996,0.000621,-0.001990,-0.002125,0.011113,0.001059,0.002197
197065.620013,1.016002,1.033354,1.132529,-0.002743,0.004871,0.022751,0.999990,0.002740,-0.002385,-0.002778,0.014863,-0.003196,-0.004261
197065.670131,1.016346,1.034003,1.133947,-0.003397,0.003469,0.025925,0.999989,0.002857,-0.002266,-0.002863,-0.012638,0.016022,-0.002133
197065.720240,1.016680,1.034592,1.136172,-0.003231,0.002626,0.043152,0.999990,0.002660,-0.001958,-0.002894,-0.005539,0.009792,-0.001065
