solve_num,solve_time_ms,node,t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz
0,226.835706,0,0.000000,0.997573,1.006263,1.046947,-0.000799,-0.002308,-0.010147,1.000000,0.000245,0.000162,0.000048,0.000000,0.000000,0.000000,0.237870,12.520742,-12.600532,-0.005042
0,226.835706,1,0.050000,0.997533,1.006148,1.046439,-0.000656,-0.002523,-0.060147,1.000000,0.000245,0.000162,0.000048,0.626037,-0.630027,-0.000143,0.237870,2.231741,-2.196848,0.000704
0,226.835706,2,0.100000,0.997500,1.006022,1.043432,-0.000513,-0.002739,-0.110147,0.999752,0.015892,-0.015584,0.000038,0.737621,-0.739872,-0.000123,0.238106,-3.601729,3.582068,-0.000081
0,226.835706,3,0.150000,0.997474,1.005885,1.037924,-0.014253,-0.016751,-0.160147,0.998830,0.034317,-0.034064,0.000029,0.557531,-0.560772,-0.000126,0.238988,-5.662441,5.649156,-0.000024
0,226.835706,4,0.200000,0.996762,1.005047,1.029917,-0.044368,-0.047092,-0.210147,0.997679,0.048231,-0.048057,0.000019,0.274406,-0.278317,-0.000126,0.240096,-4.572055,4.588232,0.000304
0,226.835706,5,0.250000,0.994543,1.002693,1.019410,-0.087002,-0.089882,-0.260147,0.996967,0.055072,-0.054996,0.000010,0.045802,-0.048907,-0.000118,0.240787,-0.993133,1.051353,0.000352
0,226.835706,6,0.300000,0.990193,0.998199,1.006402,-0.135898,-0.138848,-0.310147,0.996835,0.056214,-0.056214,0.000003,-0.003855,0.003660,-0.000108,0.240915,0.133812,-0.126344,0.000324
0,226.835706,7,0.350000,0.983398,0.991256,0.990895,-0.185898,-0.188848,-0.360147,0.996846,0.056118,-0.056123,-0.000000,0.002836,-0.002657,-0.000098,0.240905,-0.037005,0.033752,0.000313
0,226.835706,8,0.400000,0.974103,0.981814,0.972888,-0.235815,-0.238760,-0.410147,0.996838,0.056189,-0.056189,-0.000002,0.000986,-0.000969,-0.000089,0.240913,-0.659988,0.659363,0.000318
0,226.835706,9,0.450000,0.962313,0.969876,0.952380,-0.285793,-0.288738,-0.460146,0.996835,0.056214,-0.056213,-0.000004,-0.032014,0.031999,-0.000080,0.240916,-1.311017,1.312269,0.000321
0,226.835706,10,0.500000,0.948023,0.955439,0.929373,-0.335792,-0.338737,-0.510145,0.996924,0.055416,-0.055416,-0.000007,-0.097565,0.097613,-0.000071,0.244348,-1.571615,1.580549,0.000321
0,226.835706,11,0.550000,0.931233,0.938502,0.903866,-0.385789,-0.388733,-0.553706,0.997189,0.052984,-0.052982,-0.000008,-0.176145,0.176640,-0.000062,0.255511,-1.536761,1.553058,0.000340
0,226.835706,12,0.600000,0.911944,0.919065,0.876180,-0.435787,-0.438733,-0.576351,0.997637,0.048592,-0.048578,-0.000009,-0.252983,0.254294,-0.000053,0.278479,-1.323297,1.327026,0.000379
0,226.835706,13,0.650000,0.890155,0.897129,0.847363,-0.485773,-0.488732,-0.556018,0.998213,0.042281,-0.042233,-0.000009,-0.319147,0.320645,-0.000042,0.269616,-0.936552,0.931834,0.000377
0,226.835706,14,0.700000,0.865866,0.872692,0.819562,-0.527871,-0.530877,-0.550795,0.998825,0.034314,-0.034229,-0.000008,-0.365974,0.367238,-0.000031,0.269276,-0.448970,0.439512,0.000341
0,226.835706,15,0.750000,0.839472,0.846148,0.792022,-0.561969,-0.565059,-0.544979,0.999369,0.025174,-0.025057,-0.000007,-0.388422,0.389214,-0.000021,0.271002,0.055382,-0.066667,0.000282
0,226.835706,16,0.800000,0.811374,0.817895,0.764773,-0.587103,-0.590310,-0.534890,0.999763,0.015468,-0.015331,-0.000006,-0.385653,0.385881,-0.000013,0.272846,0.509784,-0.520791,0.000212
0,226.835706,17,0.850000,0.782019,0.788380,0.738029,-0.602593,-0.605937,-0.520598,0.999967,0.005828,-0.005686,-0.000005,-0.360163,0.359841,-0.000007,0.274357,0.871745,-0.881102,0.000142
0,226.835706,18,0.900000,0.751889,0.758083,0.711999,-0.608370,-0.611859,-0.503097,0.999989,-0.003175,0.003310,-0.000004,-0.316576,0.315786,-0.000003,0.275243,1.120646,-1.127607,0.000081
0,226.835706,19,0.950000,0.721471,0.727490,0.686844,-0.604996,-0.608622,-0.483909,0.999876,-0.011089,0.011203,-0.000002,-0.260544,0.259406,-0.000001,0.275466,1.252633,-1.256942,0.000033
0,226.835706,20,1.000000,0.691221,0.697059,0.662649,-0.593568,-0.597311,-0.464541,0.999689,-0.017601,0.017687,-0.000001,-0.197912,0.196559,-0.000000,0.275165,1.276171,-1.277933,0.000001
0,226.835706,21,1.050000,0.661542,0.667193,0.639422,-0.575548,-0.579379,-0.446110,0.999490,-0.022546,0.022599,-0.000000,-0.134103,0.132662,-0.000000,0.274559,1.208232,-1.207795,-0.000018
0,226.835706,22,1.100000,0.632765,0.638224,0.617116,-0.552579,-0.556463,-0.429203,0.999329,-0.025897,0.025914,0.000001,-0.073692,0.072272,-0.000001,0.273858,1.070787,-1.068627,-0.000027
0,226.835706,23,1.150000,0.605136,0.610401,0.595656,-0.526313,-0.530214,-0.413919,0.999231,-0.027738,0.027719,0.000002,-0.020152,0.018841,-0.000001,0.273215,0.887605,-0.884239,-0.000028
0,226.835706,24,1.200000,0.578820,0.583891,0.574960,-0.498285,-0.502167,-0.400022,0.999204,-0.028241,0.028190,0.000002,0.024228,-0.025371,-0.000002,0.272704,0.681516,-0.677429,-0.000025
0,226.835706,25,1.250000,0.553906,0.558782,0.554959,-0.469836,-0.473666,-0.387122,0.999238,-0.027636,0.027556,0.000003,0.058304,-0.059242,-0.000003,0.272337,0.472319,-0.467922,-0.000020
