timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
474799.184745,0,-0.000288,0.000003,1.992920,0.000729,-0.000233,-0.000168,1.000000,-0.000027,0.000149,0.000001,0.000001,-0.001065,0.000000
474799.284740,1,-0.000257,0.000015,1.970513,0.001879,0.002277,-0.407959,0.999996,-0.002528,0.001239,0.000001,-0.015076,0.002173,0.000000
474799.384736,3,-0.000147,0.000193,1.885549,0.004162,0.009193,-1.117188,0.999989,-0.004262,0.001733,-0.000025,-0.172897,0.095175,-0.001020
474799.484767,5,0.000295,0.001318,1.786661,0.008537,0.024612,-0.604492,0.999985,-0.005240,0.001264,0.000124,0.069268,-0.059518,0.011752
474799.584754,6,0.001041,0.003656,1.746914,0.007912,0.039581,-0.696777,0.999954,-0.009603,-0.000560,0.000591,-0.155443,-0.069950,0.005914
474799.684795,7,0.001864,0.006859,1.628574,0.007725,0.072693,-1.168945,0.999901,-0.014038,-0.000145,0.000581,0.106561,-0.018101,-0.005331
474799.784704,8,0.002529,0.014418,1.561691,0.004360,0.085266,-0.110535,0.999970,-0.007543,-0.001309,0.001326,0.160761,-0.020589,0.028310
474799.884777,9,0.002760,0.022953,1.549935,-0.000240,0.090332,-0.370850,0.999987,0.001697,-0.004253,0.002352,0.220484,-0.135740,0.021305
474799.984740,9,0.002405,0.032902,1.478435,-0.012871,0.092651,-0.302002,0.999981,-0.003947,-0.004497,0.001565,-0.078335,0.054951,-0.054337
474800.084684,9,0.000906,0.042532,1.443999,-0.010094,0.128052,-0.421875,0.999530,-0.030201,0.005121,-0.000787,-0.125923,0.087471,-0.029913
474800.184743,9,0.000166,0.056668,1.384467,0.003775,0.194336,-0.488770,0.999508,-0.030817,0.005749,-0.000714,0.183532,-0.044860,0.016022
474800.284706,9,0.000698,0.076838,1.336703,0.013268,0.239746,-0.411865,0.999620,-0.027073,0.005223,-0.000140,0.191577,-0.033253,0.008488
474800.384739,10,0.002217,0.101734,1.290473,0.022278,0.278320,-0.399414,0.999759,-0.021451,0.004744,-0.000545,0.195122,-0.041554,-0.019192
474800.484728,10,0.004015,0.130872,1.264988,0.006351,0.311035,-0.068115,0.999567,-0.024952,-0.014447,-0.005855,-0.056246,-0.331613,-0.162806
474800.584684,10,0.003044,0.165666,1.245314,-0.043793,0.367432,-0.201782,0.998662,-0.039338,-0.031263,-0.012236,0.054951,-0.175896,-0.120946
474800.684670,10,-0.003023,0.205505,1.211733,-0.124817,0.440186,-0.280518,0.998050,-0.042863,-0.040329,-0.020817,0.196895,-0.020964,-0.219393
474800.784728,10,-0.016699,0.254376,1.176747,-0.216797,0.509277,-0.256348,0.997685,-0.042514,-0.041569,-0.033006,0.236438,0.127832,-0.256618
474800.884729,10,-0.037571,0.310301,1.142338,-0.308105,0.570312,-0.250732,0.997163,-0.042081,-0.039138,-0.048606,0.241755,0.176715,-0.359974
474800.984719,10,-0.064455,0.372721,1.107550,-0.397949,0.623047,-0.248535,0.996211,-0.041228,-0.035601,-0.067792,0.252255,0.207803,-0.397062
474801.084723,10,-0.094394,0.437144,1.075438,-0.482666,0.667969,-0.243164,0.994789,-0.043277,-0.031769,-0.086677,0.236301,0.231665,-0.452695
474801.184679,10,-0.134634,0.521601,1.036590,-0.562988,0.706543,-0.242920,0.992439,-0.041391,-0.025376,-0.112731,0.259345,0.257027,-0.498510
474801.284759,10,-0.170910,0.598136,1.004394,-0.634277,0.736328,-0.248535,0.989592,-0.042114,-0.017960,-0.136422,0.266163,0.307887,-0.573232
474801.384676,10,-0.217376,0.700664,0.964280,-0.694336,0.755859,-0.258789,0.984843,-0.038049,-0.007101,-0.169077,0.289343,0.328885,-0.626137
474801.484668,10,-0.258245,0.798884,0.928089,-0.732910,0.763672,-0.284912,0.979054,-0.032334,0.008264,-0.200849,0.325613,0.412061,-0.674133
474801.584689,10,-0.295028,0.899760,0.892339,-0.744629,0.760742,-0.310547,0.971521,-0.025287,0.023064,-0.234471,0.343339,0.368155,-0.705222
474801.684670,10,-0.323583,0.993734,0.859791,-0.722656,0.747070,-0.347412,0.963172,-0.017267,0.040315,-0.265285,0.366792,0.398153,-0.744492
474801.784681,10,-0.348869,1.107764,0.819953,-0.668945,0.725586,-0.369141,0.950667,-0.006070,0.056611,-0.304944,0.334340,0.265208,-0.776126
474801.884677,10,-0.360578,1.207584,0.783692,-0.583496,0.700684,-0.392822,0.937503,0.006224,0.071933,-0.340405,0.378246,0.236710,-0.766854
474801.984681,10,-0.359930,1.300237,0.747611,-0.472656,0.674805,-0.392822,0.923268,0.016459,0.081152,-0.375127,0.341157,0.071927,-0.758127
474802.084674,10,-0.346541,1.382791,0.711777,-0.343262,0.646484,-0.388916,0.907673,0.029773,0.088262,-0.409211,0.394335,0.018152,-0.761400
474802.184744,10,-0.320878,1.452186,0.675980,-0.202271,0.617676,-0.372070,0.890977,0.039353,0.090360,-0.443223,0.308978,-0.131581,-0.770127
474802.284688,10,-0.283374,1.506768,0.639898,-0.056427,0.588379,-0.351074,0.873854,0.050536,0.088581,-0.475373,0.362974,-0.205758,-0.695950
474802.384680,10,-0.238582,1.543269,0.604501,0.090027,0.556641,-0.331055,0.856424,0.058047,0.082849,-0.506264,0.259890,-0.316886,-0.739038
474802.484736,10,-0.185560,1.562444,0.568025,0.225464,0.523438,-0.313965,0.838127,0.064679,0.072620,-0.536737,0.295342,-0.403335,-0.673043
474802.584722,10,-0.131163,1.563927,0.533383,0.347656,0.485352,-0.280518,0.819696,0.067050,0.059758,-0.565713,0.194168,-0.449422,-0.704131
474802.684658,10,-0.074292,1.547813,0.500630,0.447510,0.446045,-0.247803,0.799900,0.067120,0.043858,-0.594754,0.204531,-0.503691,-0.682860
474802.784673,10,-0.021981,1.518084,0.471296,0.525879,0.402344,-0.223755,0.779401,0.064675,0.028697,-0.622517,0.107106,-0.479966,-0.694314
474802.884687,10,0.026335,1.475423,0.444720,0.580566,0.355957,-0.198730,0.758807,0.058945,0.011402,-0.648543,0.107583,-0.518690,-0.623955
474802.984675,10,0.067683,1.423717,0.420222,0.612793,0.302734,-0.204956,0.738467,0.053854,-0.001920,-0.672133,0.007636,-0.445059,-0.629955
474803.084665,10,0.101390,1.364919,0.395444,0.623535,0.248901,-0.217163,0.717510,0.044354,-0.015487,-0.694962,-0.030288,-0.488965,-0.604320
474803.184723,10,0.123416,1.311624,0.374343,0.611328,0.193359,-0.224243,0.699387,0.036187,-0.025163,-0.713383,-0.087676,-0.396790,-0.551960
474803.284792,10,0.140395,1.250219,0.350485,0.579590,0.137085,-0.235718,0.680570,0.025146,-0.035063,-0.731411,-0.105470,-0.375246,-0.494692
474803.384700,10,0.149449,1.188128,0.325006,0.530273,0.080017,-0.238770,0.661629,0.013965,-0.042237,-0.748510,-0.137649,-0.258663,-0.441786
474803.484698,10,0.150147,1.135363,0.301232,0.469238,0.024384,-0.245117,0.647212,0.004396,-0.045975,-0.760910,-0.166352,-0.211485,-0.344157
474803.584711,10,0.145709,1.094468,0.280122,0.400391,-0.027527,-0.239746,0.636219,-0.001574,-0.046682,-0.770093,-0.165397,-0.101515,-0.316886
474803.684671,10,0.136592,1.056638,0.256799,0.329102,-0.072571,-0.239502,0.625570,-0.008102,-0.045207,-0.778815,-0.185032,-0.049292,-0.242028
474803.784707,10,0.122080,1.022865,0.226647,0.257324,-0.111450,-0.299072,0.616716,-0.011785,-0.042113,-0.785970,-0.171397,0.039270,-0.194441
474803.884780,10,0.107287,1.000207,0.191369,0.189941,-0.143555,-0.381836,0.611383,-0.013700,-0.038077,-0.790300,-0.186123,0.081744,-0.101038
474803.984705,10,0.090598,0.986479,0.194423,0.135864,-0.160522,0.399170,0.607920,-0.015004,-0.022482,-0.793538,-0.188850,0.090198,-0.090334
474804.084645,10,0.073942,0.979971,0.238477,0.109070,-0.150024,0.208862,0.602610,-0.036919,-0.067328,-0.794333,0.723766,-1.320996,-0.122037
474804.184659,10,0.057167,0.978692,0.219620,-0.005650,-0.197266,-0.227661,0.602153,-0.020638,-0.044428,-0.796876,-0.335703,0.812124,0.016294
474804.284718,10,0.039363,0.984922,0.190440,-0.039795,-0.215210,-0.383301,0.603633,0.000028,-0.008866,-0.797213,-0.340612,0.620683,-0.015434
474804.384656,10,0.021719,0.990472,0.184684,-0.015518,-0.203613,0.223389,0.602649,0.008548,0.012997,-0.797854,-0.290706,0.305160,-0.020180
474804.484659,10,0.005726,0.992188,0.189617,0.026794,-0.171875,-0.119080,0.601529,0.006326,0.036150,-0.798007,-0.077722,-0.090880,-0.025481
474804.584684,10,-0.008282,0.989889,0.162915,0.071960,-0.116089,-0.263428,0.601478,0.000816,0.025333,-0.798487,0.166624,-0.284980,0.000449
474804.684697,10,-0.018098,0.983223,0.144585,0.087891,-0.081116,-0.152954,0.601816,-0.003885,0.006704,-0.798597,0.236029,-0.300524,-0.000014
