timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
322283.988720,1.013146,0.997382,0.979995,-0.012016,-0.009544,0.000499,0.999996,0.001725,-0.002182,0.000002,0.002071,-0.000041,0.000000
322284.038720,1.013118,0.997418,0.978115,-0.013115,-0.011147,-0.095642,0.999907,0.010827,-0.008250,0.000156,0.842667,-0.486238,0.011641
322284.088697,1.012870,0.997166,0.965302,-0.021530,-0.026962,-0.306152,0.999808,0.017131,-0.009486,0.000514,-0.115219,0.166352,0.000977
322284.138718,1.012140,0.996009,0.948671,-0.024994,-0.039124,-0.275391,0.999894,0.013567,-0.005312,0.000533,-0.139763,0.147535,0.009443
322284.188702,1.011339,0.994308,0.936293,-0.024719,-0.046783,-0.245117,0.999953,0.009455,-0.001575,0.001275,-0.153534,0.122309,0.053689
322284.238689,1.010738,0.992631,0.921339,-0.021851,-0.050110,-0.340332,0.999971,0.007039,0.000065,0.002808,-0.007955,-0.002128,0.054030
322284.288692,1.010037,0.990388,0.898601,-0.020676,-0.055847,-0.420410,0.999961,0.007924,-0.000553,0.003788,0.061939,-0.029930,0.026248
322284.338683,1.009577,0.988330,0.877344,-0.021332,-0.063782,-0.446045,0.999924,0.011057,-0.002624,0.004739,0.136558,-0.079153,0.073904
322284.388704,1.009009,0.985685,0.851455,-0.026093,-0.077271,-0.500977,0.999845,0.014827,-0.005394,0.007771,0.126605,-0.095311,0.185169
322284.438704,1.008190,0.982244,0.824695,-0.029877,-0.088074,-0.428223,0.999842,0.012874,-0.004545,0.011373,-0.106288,0.037088,0.024220
322284.488691,1.007557,0.979157,0.810592,-0.029694,-0.092590,-0.282715,0.999891,0.009960,-0.003027,0.010477,-0.099402,0.034174,-0.089584
322284.538692,1.006647,0.974935,0.792859,-0.028641,-0.096924,-0.330566,0.999938,0.007125,-0.001350,0.008417,-0.024714,0.083312,-0.062246
322284.588678,1.005782,0.970564,0.769487,-0.025589,-0.100098,-0.441895,0.999952,0.006330,0.000319,0.007502,0.008458,0.014539,0.035691
322284.638656,1.005051,0.966015,0.747197,-0.023270,-0.103882,-0.377686,0.999934,0.006930,0.000347,0.009128,0.041077,-0.029759,0.118832
