solve_num,solve_time_ms,solve_iters,coord_mode,node,t,theta,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,circle_center_x,circle_center_y,circle_center_z,circle_radius,circle_omega,circle_phi0,circle_t_abs,abs_x,abs_y,abs_z,abs_vx,abs_vy,abs_vz,abs_qw,abs_qx,abs_qy,abs_qz,abs_wx,abs_wy,abs_wz,fz,mx,my,mz,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,rel_qw,rel_qx,rel_qy,rel_qz,rel_wx,rel_wy,rel_wz
0,84.551376,192,relative,0,0.000000,0.050000,0.227019,-0.973890,0.200000,0.097389,0.022702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000108,-0.000027,2.492881,-0.000103,0.000658,-0.000086,1.000000,-0.000070,-0.000097,0.000002,0.000043,0.000000,0.000000,0.102521,0.209100,0.104135,0.001067,-0.226911,0.973863,2.292881,-0.097492,-0.022044,-0.000086,1.000000,-0.000070,-0.000097,0.000002,0.000043,0.000000,0.000000
0,84.551376,192,relative,1,0.050000,0.200000,0.231886,-0.972743,0.200000,0.097276,0.023189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000102,0.000006,2.485360,-0.000131,0.000668,-0.300732,1.000000,0.000061,-0.000032,0.000003,0.010498,0.005207,0.000030,0.240512,0.108490,0.058708,0.001275,-0.231784,0.972749,2.285360,-0.097407,-0.022521,-0.300732,1.000000,0.000061,-0.000032,0.000003,0.010498,0.005207,0.000030
0,84.551376,192,relative,2,0.250000,0.200000,0.251296,-0.967910,0.200000,0.096821,0.025137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000161,-0.000071,2.407171,0.001380,-0.002710,-0.481166,0.999997,0.002196,0.001076,0.000013,0.032196,0.016949,0.000175,0.264881,0.034921,0.022566,0.001277,-0.251135,0.967839,2.207171,-0.095442,-0.027847,-0.481166,0.999997,0.002196,0.001076,0.000013,0.032196,0.016949,0.000175
0,84.551376,192,relative,3,0.450000,0.200000,0.270615,-0.962688,0.200000,0.096367,0.027084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001096,-0.001919,2.310940,0.009223,-0.018101,-0.481165,0.999979,0.005765,0.002996,0.000038,0.039179,0.021463,0.000320,0.264911,-0.016190,-0.003510,0.001235,-0.269519,0.960770,2.110940,-0.087145,-0.045186,-0.481165,0.999979,0.005765,0.002996,0.000038,0.039179,0.021463,0.000320
0,84.551376,192,relative,4,0.650000,0.200000,0.289843,-0.957077,0.200000,0.095913,0.029032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004395,-0.008303,2.214712,0.025149,-0.048200,-0.481166,0.999942,0.009521,0.005108,0.000078,0.035940,0.020763,0.000461,0.264956,-0.049679,-0.021415,0.001172,-0.285448,0.948773,2.014712,-0.070764,-0.077232,-0.481166,0.999942,0.009521,0.005108,0.000078,0.035940,0.020763,0.000461
0,84.551376,192,relative,5,0.850000,0.200000,0.308980,-0.951075,0.200000,0.095459,0.030980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011687,-0.022118,2.118484,0.048994,-0.091969,-0.481169,0.999896,0.012618,0.006969,0.000133,0.026003,0.016483,0.000594,0.265001,-0.068355,-0.032266,0.001092,-0.297293,0.928958,1.918484,-0.046465,-0.122949,-0.481169,0.999896,0.012618,0.006969,0.000133,0.026003,0.016483,0.000594
0,84.551376,192,relative,6,1.050000,0.200000,0.328026,-0.944685,0.200000,0.095005,0.032928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024417,-0.045759,2.022255,0.079173,-0.145703,-0.481171,0.999860,0.014534,0.008294,0.000202,0.012330,0.010031,0.000718,0.265027,-0.074785,-0.037121,0.000997,-0.303609,0.898925,1.822255,-0.015832,-0.178631,-0.481171,0.999860,0.014534,0.008294,0.000202,0.012330,0.010031,0.000718
0,84.551376,192,relative,7,1.250000,0.200000,0.346982,-0.937904,0.200000,0.094551,0.034876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043616,-0.080718,1.926022,0.113230,-0.204196,-0.481172,0.999847,0.015020,0.008925,0.000285,-0.002627,0.002608,0.000832,0.265026,-0.071506,-0.037068,0.000889,-0.303366,0.857187,1.726022,0.018679,-0.239071,-0.481172,0.999847,0.015020,0.008925,0.000285,-0.002627,0.002608,0.000832
0,84.551376,192,relative,8,1.450000,0.200000,0.365847,-0.930734,0.200000,0.094097,0.036823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069778,-0.127371,1.829786,0.148311,-0.261699,-0.481171,0.999862,0.014043,0.008814,0.000380,-0.016928,-0.004807,0.000933,0.264998,-0.060966,-0.033194,0.000767,-0.296069,0.803363,1.629786,0.054214,-0.298523,-0.481171,0.999862,0.014043,0.008814,0.000380,-0.016928,-0.004807,0.000933
0,84.551376,192,relative,9,1.650000,0.200000,0.384621,-0.923175,0.200000,0.093643,0.038771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102817,-0.184961,1.733547,0.181548,-0.312693,-0.481170,0.999899,0.011742,0.007999,0.000487,-0.029120,-0.011449,0.001020,0.264954,-0.045443,-0.026539,0.000634,-0.281804,0.738214,1.533547,0.087905,-0.351464,-0.481170,0.999899,0.011742,0.007999,0.000487,-0.029120,-0.011449,0.001020
0,84.551376,192,relative,10,1.850000,0.200000,0.403304,-0.915226,0.200000,0.093189,0.040719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142100,-0.251696,1.637308,0.210364,-0.352459,-0.481167,0.999943,0.008378,0.006585,0.000603,-0.038207,-0.016762,0.001092,0.264910,-0.026992,-0.018070,0.000490,-0.261204,0.663530,1.437308,0.117175,-0.393178,-0.481167,0.999943,0.008378,0.006585,0.000603,-0.038207,-0.016762,0.001092
0,84.551376,192,relative,11,2.050000,0.200000,0.421897,-0.906887,0.200000,0.092735,0.042667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.186528,-0.324957,1.541070,0.232692,-0.377476,-0.481165,0.999979,0.004289,0.004725,0.000726,-0.043602,-0.020383,0.001148,0.264881,-0.007427,-0.008664,0.000339,-0.235369,0.581930,1.341070,0.139957,-0.420143,-0.481165,0.999979,0.004289,0.004725,0.000726,-0.043602,-0.020383,0.001148
0,84.551376,192,relative,12,2.250000,0.200000,0.440398,-0.898159,0.200000,0.092281,0.044614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234648,-0.401559,1.444834,0.247118,-0.385649,-0.481164,0.999996,-0.000143,0.002596,0.000855,-0.045084,-0.022124,0.001186,0.264875,0.011682,0.000893,0.000181,-0.205750,0.496600,1.244834,0.154837,-0.430263,-0.481164,0.999996,-0.000143,0.002596,0.000855,-0.045084,-0.022124,0.001186
0,84.551376,192,relative,13,2.450000,0.200000,0.458809,-0.889042,0.200000,0.091827,0.046562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284800,-0.478051,1.348602,0.252957,-0.376395,-0.481165,0.999989,-0.004532,0.000388,0.000986,-0.042743,-0.021953,0.001207,0.264894,0.028988,0.009904,0.000019,-0.174009,0.410991,1.148602,0.161130,-0.422957,-0.481165,0.999989,-0.004532,0.000388,0.000986,-0.042743,-0.021953,0.001207
0,84.551376,192,relative,14,2.650000,0.200000,0.477129,-0.879534,0.200000,0.091373,0.048510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335260,-0.551011,1.252373,0.250267,-0.350610,-0.481166,0.999962,-0.008514,-0.001712,0.001118,-0.036942,-0.019980,0.001209,0.264929,0.043347,0.017750,-0.000146,-0.141869,0.328523,1.052373,0.158894,-0.399120,-0.481166,0.999962,-0.008514,-0.001712,0.001118,-0.036942,-0.019980,0.001209
0,84.551376,192,relative,15,2.850000,0.200000,0.495358,-0.869638,0.200000,0.090919,0.050458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.384387,-0.617338,1.156145,0.239805,-0.310530,-0.481168,0.999924,-0.011773,-0.003535,0.001248,-0.028269,-0.016436,0.001192,0.264969,0.053778,0.023880,-0.000314,-0.110971,0.252299,0.956145,0.148886,-0.360988,-0.481168,0.999924,-0.011773,-0.003535,0.001248,-0.028269,-0.016436,0.001192
0,84.551376,192,relative,16,3.050000,0.200000,0.513497,-0.859351,0.200000,0.090465,0.052406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.430755,-0.674491,1.059915,0.222945,-0.259503,-0.481170,0.999888,-0.014060,-0.004942,0.001374,-0.017511,-0.011664,0.001157,0.265001,0.059423,0.027795,-0.000484,-0.082742,0.184860,0.859915,0.132480,-0.311908,-0.481170,0.999888,-0.014060,-0.004942,0.001374,-0.017511,-0.011664,0.001157
0,84.551376,192,relative,17,3.250000,0.200000,0.531544,-0.848675,0.200000,0.090011,0.054353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.473261,-0.720685,0.963684,0.201537,-0.201684,-0.481171,0.999866,-0.015216,-0.005830,0.001494,-0.005625,-0.006107,0.001102,0.265013,0.059520,0.029046,-0.000656,-0.058283,0.127990,0.763684,0.111526,-0.256037,-0.481171,0.999866,-0.015216,-0.005830,0.001494,-0.005625,-0.006107,0.001102
