solve_num,solve_time_ms,solve_iters,coord_mode,target_motion_source,node,t,theta,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,circle_center_x,circle_center_y,circle_center_z,circle_radius,circle_omega,circle_phi0,circle_t_abs,abs_x,abs_y,abs_z,abs_vx,abs_vy,abs_vz,abs_qw,abs_qx,abs_qy,abs_qz,abs_wx,abs_wy,abs_wz,fz,mx,my,mz,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,rel_qw,rel_qx,rel_qy,rel_qz,rel_wx,rel_wy,rel_wz
0,1772.129592,626,absolute,odom+predicted_accel,0,0.000000,0.103253,0.422674,1.055242,0.499675,-0.211048,0.084535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000418,0.000000,1.953125,-0.158162,0.216440,-0.181681,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243146,0.003773,-0.000044,-0.000009,-0.423092,-1.055242,1.453450,0.052887,0.131905,-0.181681,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,1772.129592,626,absolute,odom+predicted_accel,1,0.103253,0.102405,0.400793,1.063745,0.499675,-0.212765,0.080165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.016750,0.022348,1.930077,-0.158183,0.216442,-0.264758,1.000000,0.000010,-0.000000,-0.000000,0.000390,-0.000005,-0.000001,0.255133,0.002083,-0.000212,-0.000009,-0.417543,-1.041397,1.430402,0.054582,0.136277,-0.264758,1.000000,0.000010,-0.000000,-0.000000,0.000390,-0.000005,-0.000001
0,1772.129592,626,absolute,odom+predicted_accel,2,0.205658,0.101919,0.378922,1.071731,0.499675,-0.214378,0.075797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032949,0.044512,1.901074,-0.158205,0.216408,-0.301688,1.000000,0.000035,-0.000001,-0.000000,0.000603,-0.000026,-0.000001,0.261352,0.000701,-0.000251,-0.000009,-0.411871,-1.027219,1.401398,0.056173,0.140610,-0.301688,1.000000,0.000035,-0.000001,-0.000000,0.000603,-0.000026,-0.000001
0,1772.129592,626,absolute,odom+predicted_accel,3,0.307577,0.101430,0.356995,1.079233,0.499675,-0.215895,0.071418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049075,0.066563,1.869649,-0.158230,0.216314,-0.314966,1.000000,0.000068,-0.000003,-0.000000,0.000674,-0.000052,-0.000002,0.264527,-0.000442,-0.000256,-0.000009,-0.406070,-1.012670,1.369974,0.057664,0.144895,-0.314966,1.000000,0.000068,-0.000003,-0.000000,0.000674,-0.000052,-0.000002
0,1772.129592,626,absolute,odom+predicted_accel,4,0.409006,0.100941,0.335024,1.086255,0.499675,-0.217315,0.067031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065125,0.088496,1.837637,-0.158261,0.216152,-0.316253,1.000000,0.000101,-0.000006,-0.000000,0.000629,-0.000078,-0.000002,0.266092,-0.001376,-0.000249,-0.000009,-0.400149,-0.997759,1.337962,0.059054,0.149121,-0.316253,1.000000,0.000101,-0.000006,-0.000000,0.000629,-0.000078,-0.000002
0,1772.129592,626,absolute,odom+predicted_accel,5,0.509947,0.100494,0.313021,1.092799,0.499675,-0.218640,0.062637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.081102,0.110304,1.805945,-0.158299,0.215928,-0.311683,1.000000,0.000129,-0.000011,-0.000000,0.000491,-0.000103,-0.000003,0.266808,-0.002115,-0.000235,-0.000009,-0.394123,-0.982496,1.306270,0.060341,0.153292,-0.311683,1.000000,0.000129,-0.000011,-0.000000,0.000491,-0.000103,-0.000003
0,1772.129592,626,absolute,odom+predicted_accel,6,0.610441,0.100113,0.290986,1.098873,0.499675,-0.219871,0.058236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.097012,0.131990,1.774985,-0.158348,0.215656,-0.304469,1.000000,0.000149,-0.000017,-0.000000,0.000278,-0.000127,-0.000003,0.267081,-0.002670,-0.000216,-0.000008,-0.387998,-0.966883,1.275310,0.061523,0.157420,-0.304469,1.000000,0.000149,-0.000017,-0.000000,0.000278,-0.000127,-0.000003
0,1772.129592,626,absolute,odom+predicted_accel,7,0.710553,0.099803,0.268917,1.104483,0.499675,-0.221009,0.053829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.112868,0.153565,1.744915,-0.158409,0.215358,-0.296269,1.000000,0.000156,-0.000023,-0.000001,0.000011,-0.000148,-0.000004,0.267127,-0.003051,-0.000191,-0.000008,-0.381785,-0.950918,1.245239,0.062600,0.161530,-0.296269,1.000000,0.000156,-0.000023,-0.000001,0.000011,-0.000148,-0.000004
0,1772.129592,626,absolute,odom+predicted_accel,8,0.810356,0.099559,0.246807,1.109635,0.499675,-0.222056,0.049413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.128681,0.175043,1.715762,-0.158485,0.215060,-0.287928,1.000000,0.000149,-0.000031,-0.000001,-0.000294,-0.000167,-0.000004,0.267059,-0.003267,-0.000161,-0.000008,-0.375488,-0.934591,1.216087,0.063570,0.165647,-0.287928,1.000000,0.000149,-0.000031,-0.000001,-0.000294,-0.000167,-0.000004
0,1772.129592,626,absolute,odom+predicted_accel,9,0.909915,0.099374,0.224651,1.114334,0.499675,-0.223012,0.044988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.144464,0.196441,1.687498,-0.158577,0.214791,-0.279856,1.000000,0.000126,-0.000040,-0.000001,-0.000619,-0.000183,-0.000005,0.266939,-0.003330,-0.000125,-0.000008,-0.369115,-0.917893,1.187823,0.064434,0.169803,-0.279856,1.000000,0.000126,-0.000040,-0.000001,-0.000619,-0.000183,-0.000005
