timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
194775.301907,1.010739,0.998941,0.981660,-0.014000,-0.011482,0.000709,0.999994,0.002406,-0.002607,0.000002,-0.001019,-0.000027,0.000000
194775.533832,1.002723,0.989592,0.964882,-0.103516,-0.122864,-0.058990,0.998839,0.038086,-0.029500,0.000006,-0.169488,0.204258,-0.027697
194775.769499,0.971395,0.948573,0.952954,-0.158081,-0.217529,-0.025879,0.999980,0.004329,0.000221,-0.004659,-0.380427,0.277480,-0.066404
194776.002713,0.941481,0.905462,0.950180,-0.103271,-0.152344,-0.010689,0.999641,-0.021923,0.012657,-0.008758,-0.092448,-0.002957,-0.004191
194776.243461,0.923168,0.882426,0.949848,-0.057892,-0.048584,-0.003325,0.999854,-0.015240,0.003630,-0.006759,0.115083,-0.053178,0.012783
194776.475377,0.910177,0.875011,0.949254,-0.055542,-0.019730,-0.004135,0.999978,-0.000666,-0.000887,-0.006495,0.047724,0.035588,-0.018323
194776.709161,0.896422,0.867598,0.948781,-0.052887,-0.032349,-0.001839,0.999957,0.001002,0.002218,-0.008909,-0.065109,0.056450,-0.024458
194776.949233,0.885339,0.858810,0.949073,-0.036407,-0.029205,0.000555,0.999930,-0.003920,0.003587,-0.010563,-0.052155,0.014897,-0.009545
194777.192118,0.877678,0.852705,0.949633,-0.022873,-0.012009,0.000504,0.999928,-0.004448,0.002215,-0.010897,-0.007491,0.005838,-0.004261
194777.432151,0.872911,0.850623,0.949956,-0.013824,0.002052,0.000220,0.999930,-0.003319,0.001996,-0.011205,0.003149,0.009383,-0.004261
194777.668970,0.870311,0.850920,0.950183,-0.006527,0.008629,0.000000,0.999930,-0.001992,0.001677,-0.011581,-0.000678,0.005326,-0.004261
194777.906042,0.869337,0.852204,0.950360,-0.001073,0.010712,-0.000035,0.999927,-0.001439,0.001211,-0.011899,-0.007384,0.004261,-0.004261
194778.153686,0.869470,0.853988,0.950565,0.002415,0.012016,0.000253,0.999924,-0.001454,0.000793,-0.012223,-0.007943,0.005373,-0.003181
194778.406476,0.870247,0.856059,0.950793,0.003786,0.012558,0.000357,0.999920,-0.001144,0.000445,-0.012610,-0.006392,0.007504,-0.004261
194778.645024,0.871244,0.858046,0.951050,0.004501,0.012192,0.000431,0.999916,-0.001063,0.000435,-0.012941,-0.008560,0.008322,-0.004261
194778.900850,0.872502,0.860075,0.951360,0.004848,0.011604,0.000678,0.999909,-0.001215,0.000390,-0.013399,-0.008573,0.008535,-0.003155
194779.141218,0.873817,0.862031,0.951669,0.005314,0.012024,0.000529,0.999905,-0.001153,0.000320,-0.013759,-0.007478,0.007495,-0.004261
194779.376610,0.875123,0.863906,0.951940,0.005112,0.011711,0.000273,0.999900,-0.000900,0.000102,-0.014100,-0.007269,0.007384,-0.004261
194779.611324,0.876381,0.865671,0.952206,0.004452,0.010696,0.000346,0.999894,-0.000892,0.000079,-0.014544,-0.008522,0.008518,-0.005326
194779.843641,0.877409,0.867125,0.952512,0.003712,0.009811,0.000191,0.999887,-0.001030,0.000162,-0.014979,-0.008522,0.008522,-0.006357
194780.102638,0.878581,0.868751,0.952813,0.004261,0.010300,0.000700,0.999879,-0.001256,0.000381,-0.015516,-0.008522,0.007457,-0.003396
194780.335880,0.879814,0.870381,0.953108,0.004860,0.011185,0.000446,0.999874,-0.001167,0.000167,-0.015823,-0.004310,0.005377,-0.004261
194780.574083,0.881180,0.872333,0.953363,0.004333,0.010895,0.000232,0.999869,-0.000801,-0.000042,-0.016187,-0.005326,0.007504,-0.004261
