timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,acc_x,acc_y,acc_z
200058.728874,1.007835,1.010397,1.025551,-0.010822,-0.011236,-0.348683,0.999995,0.002131,-0.002382,0.000030,0.488014,-0.483050,-0.000650,0,0,0
200058.778859,1.007906,1.010272,1.024436,-0.011412,-0.011678,-0.261953,0.999995,0.002236,-0.002418,0.000025,0.078018,-0.070887,-0.004245,0,0,0
200058.828852,1.007882,1.010170,1.024007,-0.011467,-0.011774,-0.277665,0.999995,0.002234,-0.002387,0.000025,0.097320,-0.107999,-0.009841,0,0,0
200058.878861,1.007922,1.010140,1.025776,-0.010608,-0.010595,-0.260785,0.999999,0.000844,-0.001417,0.000024,0.105392,-0.109190,-0.021501,0,0,0
200058.928856,1.008049,1.010249,1.028242,-0.009270,-0.008583,-0.248073,1.000000,-0.000148,-0.000797,0.000023,0.110062,-0.106128,-0.044814,0,0,0
200058.978848,1.008291,1.010528,1.030541,-0.007384,-0.005739,-0.246300,1.000000,-0.000779,-0.000449,0.000023,0.114634,-0.105010,-0.071529,0,0,0
200059.028835,1.007921,1.010241,1.018226,-0.007632,-0.005308,-0.460455,0.999992,0.002088,-0.003076,-0.001762,0.170069,-0.151023,-0.137864,0,0,0
200059.078849,1.008635,1.010969,1.032550,-0.005458,-0.002677,-0.250455,0.999999,-0.001040,-0.000391,0.000023,0.124698,-0.110146,-0.100902,0,0,0
200059.128860,1.009171,1.011705,1.034955,-0.003235,0.000953,-0.254844,0.999999,-0.000974,-0.000464,0.000023,0.129582,-0.126420,-0.114512,0,0,0
200059.178838,1.009928,1.012762,1.037298,-0.001380,0.004095,-0.262401,0.999999,-0.000459,-0.001007,-0.000049,0.131184,-0.133970,-0.116240,0,0,0
200059.228841,1.010638,1.013853,1.038826,-0.000282,0.006734,-0.256559,0.999999,0.000220,-0.001551,-0.000202,0.115779,-0.121737,-0.111850,0,0,0
200059.278834,1.010624,1.014189,1.025998,-0.001151,0.006611,-0.466861,0.999980,0.003118,-0.004595,-0.002994,0.175692,-0.187071,-0.213656,0,0,0
200059.328898,1.011470,1.015201,1.041736,0.000089,0.008151,-0.258992,0.999998,0.000942,-0.001945,-0.000216,0.138826,-0.143451,-0.120505,0,0,0
200059.378850,1.012294,1.016557,1.044759,-0.000038,0.008594,-0.243320,0.999996,0.001540,-0.002239,-0.000159,0.136098,-0.125676,-0.117685,0,0,0
200059.428840,1.012292,1.016987,1.032593,-0.001409,0.007651,-0.427639,0.999969,0.004949,-0.005377,-0.003098,0.201571,-0.193402,-0.223627,0,0,0
200059.478851,1.012982,1.017714,1.046445,-0.000268,0.008507,-0.260022,0.999995,0.001937,-0.002376,-0.000294,0.142791,-0.136818,-0.115842,0,0,0
200059.528820,1.013759,1.018998,1.048579,-0.000515,0.007918,-0.271828,0.999994,0.002285,-0.002359,-0.000476,0.182407,-0.156598,-0.101220,0,0,0
200059.578815,1.013733,1.019394,1.034988,-0.001898,0.006579,-0.469191,0.999952,0.006849,-0.006270,-0.003005,0.232043,-0.236284,-0.190712,0,0,0
200059.628832,1.014526,1.020237,1.051060,-0.000844,0.006714,-0.225873,0.999994,0.002553,-0.002200,-0.000533,0.087725,-0.116710,-0.093207,0,0,0
