solve_num,solve_time_ms,node,t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz
0,155.789565,0,0.000000,1.013379,0.997165,0.979962,-0.013268,-0.010170,0.000518,0.999996,0.001734,-0.002335,0.000001,0.000000,0.000000,0.000000,0.080000,9.529341,-9.693000,0.012780
0,155.789565,1,0.050000,1.012716,0.996657,0.979987,-0.013959,-0.010684,-0.341837,0.999996,0.001734,-0.002335,0.000001,0.476467,-0.484650,0.000363,0.080000,4.230954,-4.341064,-0.001856
0,155.789565,2,0.100000,1.012018,0.996122,0.962896,-0.014651,-0.011197,-0.684191,0.999803,0.013643,-0.014449,0.000017,0.688021,-0.701697,0.000311,0.203858,0.121823,-0.238410,-0.007369
0,155.789565,3,0.150000,1.011285,0.995563,0.928686,-0.025558,-0.021497,-0.797475,0.999013,0.030831,-0.031978,0.000034,0.694121,-0.713609,0.000101,0.324287,-2.067753,2.292641,0.003043
0,155.789565,4,0.200000,1.010007,0.994488,0.888812,-0.063926,-0.058492,-0.689812,0.997599,0.048153,-0.049785,0.000042,0.590736,-0.598974,0.000188,0.327959,-3.576895,3.778427,0.004874
0,155.789565,5,0.250000,1.006811,0.991563,0.854322,-0.124250,-0.116844,-0.578807,0.995922,0.062872,-0.064708,0.000060,0.411895,-0.410049,0.000326,0.315076,-4.200276,4.390792,0.004066
0,155.789565,6,0.300000,1.000598,0.985721,0.825381,-0.199449,-0.189918,-0.495331,0.994506,0.073120,-0.074910,0.000090,0.201887,-0.190504,0.000442,0.295688,-4.217291,4.350111,0.002483
0,155.789565,7,0.350000,0.990626,0.976225,0.800615,-0.281028,-0.269563,-0.450261,0.993756,0.078137,-0.079645,0.000131,-0.008975,0.027005,0.000512,0.277922,-3.802816,3.870960,0.000990
0,155.789565,8,0.400000,0.976575,0.962747,0.778102,-0.362487,-0.349501,-0.438904,0.993827,0.077913,-0.078975,0.000179,-0.199116,0.220553,0.000540,0.265883,-3.115118,3.125059,-0.000160
0,155.789565,9,0.450000,0.958450,0.945272,0.756157,-0.439763,-0.425767,-0.449149,0.994623,0.072962,-0.073495,0.000229,-0.354876,0.376802,0.000536,0.260525,-2.283171,2.247052,-0.000945
0,155.789565,10,0.500000,0.936462,0.923983,0.733699,-0.510281,-0.495806,-0.467544,0.995879,0.064129,-0.064123,0.000277,-0.469043,0.489147,0.000509,0.260690,-1.408758,1.340532,-0.001429
0,155.789565,11,0.550000,0.910948,0.899193,0.710322,-0.571921,-0.557486,-0.483226,0.997272,0.052440,-0.051941,0.000322,-0.539490,0.556165,0.000468,0.264258,-0.569693,0.482887,-0.001700
0,155.789565,12,0.600000,0.882352,0.871319,0.686161,-0.622602,-0.608687,-0.489691,0.998514,0.038977,-0.038073,0.000362,-0.567984,0.580299,0.000420,0.269072,0.177636,-0.271168,-0.001837
0,155.789565,13,0.650000,0.851222,0.840885,0.661676,-0.660474,-0.647486,-0.484867,0.999414,0.024788,-0.023588,0.000398,-0.559112,0.566732,0.000368,0.273485,0.796176,-0.886878,-0.001902
0,155.789565,14,0.700000,0.818198,0.808510,0.637433,-0.684342,-0.672588,-0.470099,0.999897,0.010810,-0.009432,0.000428,-0.519311,0.522380,0.000314,0.276550,1.266079,-1.346895,-0.001936
0,155.789565,15,0.750000,0.783981,0.774881,0.613928,-0.693997,-0.683664,-0.448681,0.999991,-0.002177,0.003620,0.000455,-0.456013,0.455029,0.000259,0.277965,1.582199,-1.648498,-0.001962
0,155.789565,16,0.800000,0.749281,0.740698,0.591494,-0.690271,-0.681421,-0.424449,0.999795,-0.013580,0.014989,0.000478,-0.376908,0.372600,0.000203,0.277908,1.751193,-1.800522,-0.001990
0,155.789565,17,0.850000,0.714768,0.706627,0.570271,-0.674853,-0.667439,-0.400725,0.999440,-0.023003,0.024295,0.000497,-0.289351,0.282571,0.000146,0.276823,1.788432,-1.820164,-0.002016
