timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz
201194.206365,1.006300,1.010448,1.059490,-0.016903,0.008669,-0.354608,0.999995,0.003238,-0.000656,0.000097,0.506535,-0.476779,0.000014,0.080000,4.376252,-4.327168,0.002637
201194.256482,1.005455,1.010881,1.041760,-0.017097,0.007710,-0.696963,0.999795,0.015900,-0.012573,0.000067,0.725348,-0.693137,0.000089,0.178244,0.193849,-0.417855,-0.009034
201194.306617,1.004600,1.011267,1.006912,-0.025395,-0.002785,-0.857652,0.998974,0.034020,-0.029887,0.000022,0.735043,-0.714027,-0.000168,0.326415,-2.550215,2.166021,-0.008422
201194.356698,1.003330,1.011128,0.964029,-0.061488,-0.043873,-0.746158,0.997488,0.052361,-0.047703,-0.000040,0.607528,-0.605731,-0.000407,0.331808,-3.971056,3.714217,-0.005885
201194.406809,1.000256,1.008934,0.926721,-0.119967,-0.108056,-0.628364,0.995742,0.067495,-0.062794,-0.000119,0.408965,-0.420030,-0.000575,0.317671,-4.518357,4.314002,-0.004198
201194.625118,1.006740,1.015840,1.062830,-0.004342,0.005640,-0.392432,0.999999,-0.000149,-0.001109,-0.000599,0.545466,-0.526594,0.005925,0.080000,4.542474,-4.426532,0.193277
201194.675269,1.006523,1.016122,1.043208,-0.004670,0.005685,-0.734784,0.999807,0.013477,-0.014280,-0.000433,0.772708,-0.747798,0.011418,0.190166,-0.010082,0.041026,0.178691
201194.725420,1.006289,1.016406,1.006469,-0.014730,-0.003802,-0.873396,0.998919,0.032767,-0.032972,-0.000124,0.772528,-0.745412,0.016498,0.332352,-2.963786,2.832989,0.159861
201194.775563,1.005553,1.016216,0.962799,-0.055277,-0.044087,-0.751089,0.997313,0.052025,-0.051584,0.000314,0.624805,-0.603278,0.021042,0.336492,-4.339385,4.240716,0.142318
201194.825700,1.002789,1.014012,0.925245,-0.119371,-0.108771,-0.625144,0.995487,0.067565,-0.066632,0.000860,0.408318,-0.390744,0.025087,0.319317,-4.740704,4.676321,0.123821
201195.038523,1.007988,1.022468,1.041605,-0.008690,0.006580,-0.357460,0.999996,0.001626,-0.001800,-0.001678,0.534392,-0.508460,0.015276,0.080000,4.361185,-4.152173,0.497813
201195.088658,1.007554,1.022797,1.023732,-0.009224,0.006099,-0.699813,0.999782,0.014961,-0.014532,-0.001293,0.752746,-0.715759,0.029427,0.181252,-0.164554,-0.000257,0.444197
201195.138841,1.007093,1.023102,0.988741,-0.018990,-0.003929,-0.854954,0.998904,0.033730,-0.032446,-0.000551,0.745317,-0.714931,0.042053,0.330681,-2.858241,2.611464,0.396512
201195.188962,1.006143,1.022905,0.945994,-0.058708,-0.045173,-0.735765,0.997363,0.052282,-0.050329,0.000500,0.603546,-0.583168,0.053323,0.334187,-4.219933,3.982463,0.351200
201195.239069,1.003208,1.020647,0.909205,-0.120804,-0.109744,-0.613918,0.995620,0.067256,-0.064917,0.001827,0.393730,-0.382823,0.063306,0.318061,-4.601966,4.417254,0.309937
201195.450410,1.008916,1.027154,1.018692,-0.006582,0.001839,-0.366202,0.999997,0.000896,-0.001137,-0.002024,0.529215,-0.507168,0.013490,0.080000,4.319119,-4.351206,0.424382
201195.500539,1.008587,1.027246,1.000382,-0.006920,0.001574,-0.708554,0.999803,0.014098,-0.013841,-0.001683,0.745430,-0.724457,0.025553,0.193053,-0.120675,-0.039215,0.379164
201195.550666,1.008241,1.027325,0.964955,-0.016831,-0.008488,-0.841828,0.998954,0.032680,-0.031978,-0.001041,0.740099,-0.725695,0.036330,0.330382,-2.789321,2.581106,0.335487
201195.600794,1.007399,1.026900,0.922863,-0.055962,-0.048393,-0.723067,0.997435,0.051098,-0.050134,-0.000135,0.601634,-0.595619,0.045866,0.334206,-4.098586,3.979961,0.296589
201195.650911,1.004601,1.024481,0.886710,-0.117867,-0.111472,-0.601010,0.995696,0.066026,-0.065032,0.001002,0.397741,-0.395574,0.054297,0.318270,-4.489522,4.451113,0.261935
201195.858176,1.010658,1.031690,0.992443,-0.006328,0.002723,-0.378822,0.999995,0.001151,-0.001721,-0.002289,0.521975,-0.503343,0.003973,0.080000,4.366649,-4.212623,0.107281
201195.908296,1.010342,1.031826,0.973502,-0.006839,0.002384,-0.721175,0.999795,0.014169,-0.014332,-0.002181,0.740384,-0.713895,0.007022,0.211039,-0.003171,0.005207,0.081549
201195.958413,1.010000,1.031945,0.937443,-0.018063,-0.008664,-0.821178,0.998947,0.032622,-0.032208,-0.001993,0.740415,-0.713438,0.009340,0.329387,-2.671563,2.607670,0.063087
201196.008535,1.009097,1.031512,0.896384,-0.057393,-0.048341,-0.704266,0.997439,0.051053,-0.050053,-0.001745,0.607090,-0.582792,0.011133,0.333543,-4.045151,3.944744,0.050007
201196.058660,1.006227,1.029095,0.861171,-0.119177,-0.111140,-0.583408,0.995715,0.066137,-0.064612,-0.001451,0.405079,-0.385298,0.012555,0.317897,-4.484949,4.373746,0.041154
201196.264910,1.012207,1.035617,0.963784,-0.006151,0.000354,-0.393531,0.999994,0.001139,-0.001355,-0.003052,0.546016,-0.500716,-0.023088,0.080000,4.457303,-4.170202,-0.714334
201196.315032,1.011899,1.035635,0.944108,-0.006554,0.000017,-0.735884,0.999788,0.014749,-0.013912,-0.003624,0.768442,-0.709705,-0.043393,0.229671,-0.088530,0.033081,-0.641466
201196.365149,1.011572,1.035636,0.907314,-0.018431,-0.012483,-0.801417,0.998912,0.033896,-0.031694,-0.004702,0.762847,-0.709316,-0.061627,0.330106,-2.847282,2.621791,-0.584751
201196.415296,1.010650,1.035012,0.867243,-0.057333,-0.053697,-0.683243,0.997357,0.052893,-0.049428,-0.006235,0.618824,-0.580011,-0.078248,0.333829,-4.255615,3.939921,-0.535506
201196.465453,1.007784,1.032327,0.833081,-0.118691,-0.118541,-0.562021,0.995584,0.068314,-0.063868,-0.008187,0.404321,-0.384852,-0.093470,0.317627,-4.698365,4.336386,-0.488606
201196.676511,1.014138,1.039208,0.930051,-0.005353,0.000636,-0.403693,0.999983,0.001082,-0.001672,-0.005562,0.550877,-0.509454,-0.019039,0.080000,4.491560,-4.063399,-0.602544
