timestamp,solve_num,coord_mode,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,abs_x,abs_y,abs_z,abs_vx,abs_vy,abs_vz,abs_qw,abs_qx,abs_qy,abs_qz,abs_wx,abs_wy,abs_wz,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,rel_qw,rel_qx,rel_qy,rel_qz,rel_wx,rel_wy,rel_wz,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz
514177.434716,0,absolute,-0.000012,0.000000,2.480469,-0.000015,-0.000078,0.000699,1.000000,0.000002,-0.000037,0.000000,-0.000200,0.000000,0.000000,-0.000012,0.000000,2.480469,-0.000015,-0.000078,0.000699,1.000000,0.000002,-0.000037,0.000000,-0.000200,0.000000,0.000000,0.168245,-0.985743,2.080469,0.394282,0.067225,0.000699,1.000000,0.000002,-0.000037,0.000000,-0.000200,0.000000,0.000000,-0.168258,0.985743,0.400000,-0.394297,-0.067303,0.000000
514177.534715,0,absolute,-0.000010,0.000000,2.480469,0.000092,0.000000,0.000663,1.000000,-0.000015,-0.000037,-0.000000,0.000000,-0.001068,0.000000,-0.000010,0.000000,2.480469,0.000092,0.000000,0.000663,1.000000,-0.000015,-0.000037,-0.000000,0.000000,-0.001068,0.000000,0.207535,-0.978226,2.080469,0.391382,0.083018,0.000663,1.000000,-0.000015,-0.000037,-0.000000,0.000000,-0.001068,0.000000,-0.207545,0.978226,0.400000,-0.391290,-0.083018,0.000000
514177.634705,0,absolute,0.000000,0.000000,2.480469,0.000166,0.000074,0.000647,1.000000,-0.000019,-0.000002,-0.000000,0.000212,-0.000201,0.000000,0.000000,0.000000,2.480469,0.000166,0.000074,0.000647,1.000000,-0.000019,-0.000002,-0.000000,0.000212,-0.000201,0.000000,0.246494,-0.969144,2.080469,0.387824,0.098671,0.000647,1.000000,-0.000019,-0.000002,-0.000000,0.000212,-0.000201,0.000000,-0.246494,0.969144,0.400000,-0.387658,-0.098598,0.000000
514177.734714,0,absolute,0.000000,0.000000,2.480469,0.000131,0.000128,0.000669,1.000000,0.000005,0.000026,-0.000000,0.000001,-0.001090,0.000000,0.000000,0.000000,2.480469,0.000131,0.000128,0.000669,1.000000,0.000005,0.000026,-0.000000,0.000001,-0.001090,0.000000,0.285055,-0.958511,2.080469,0.383536,0.114150,0.000669,1.000000,0.000005,0.000026,-0.000000,0.000001,-0.001090,0.000000,-0.285055,0.958511,0.400000,-0.383405,-0.114022,0.000000
514177.834705,0,absolute,0.000000,0.000000,2.480469,0.000000,0.000100,0.000723,1.000000,0.000021,0.000037,-0.000000,0.001116,0.000000,0.000000,0.000000,0.000000,2.480469,0.000000,0.000100,0.000723,1.000000,0.000021,0.000037,-0.000000,0.001116,0.000000,0.000000,0.323157,-0.946345,2.080469,0.378538,0.129363,0.000723,1.000000,0.000021,0.000037,-0.000000,0.001116,0.000000,0.000000,-0.323157,0.946345,0.400000,-0.378538,-0.129263,0.000000
514177.934707,0,absolute,0.000000,0.000000,2.480469,-0.000066,0.000000,0.000708,1.000000,0.000033,0.000020,-0.000000,0.000000,0.001072,0.000000,0.000000,0.000000,2.480469,-0.000066,0.000000,0.000708,1.000000,0.000033,0.000020,-0.000000,0.000000,0.001072,0.000000,0.360742,-0.932666,2.080469,0.373000,0.144297,0.000708,1.000000,0.000033,0.000020,-0.000000,0.000000,0.001072,0.000000,-0.360742,0.932666,0.400000,-0.373066,-0.144297,0.000000
514178.034717,0,absolute,0.000000,0.000000,2.480469,-0.000053,-0.000090,0.000643,1.000000,0.000018,-0.000009,0.000000,-0.000002,0.000864,0.000000,0.000000,0.000000,2.480469,-0.000053,-0.000090,0.000643,1.000000,0.000018,-0.000009,0.000000,-0.000002,0.000864,0.000000,0.397749,-0.917494,2.080469,0.366944,0.159009,0.000643,1.000000,0.000018,-0.000009,0.000000,-0.000002,0.000864,0.000000,-0.397749,0.917494,0.400000,-0.366998,-0.159099,0.000000
514178.134707,0,absolute,0.000000,0.000000,2.480469,0.000011,-0.000093,0.000669,1.000000,-0.000009,-0.000020,-0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,2.480469,0.000011,-0.000093,0.000669,1.000000,-0.000009,-0.000020,-0.000000,0.000001,0.000000,0.000000,0.434122,-0.900854,2.080469,0.360352,0.173556,0.000669,1.000000,-0.000009,-0.000020,-0.000000,0.000001,0.000000,0.000000,-0.434122,0.900854,0.400000,-0.360342,-0.173649,0.000000
514178.234721,0,absolute,0.000000,0.000000,2.480469,0.000115,0.000000,0.000667,1.000000,-0.000015,-0.000001,-0.000000,-0.001068,-0.001066,0.000000,0.000000,0.000000,2.480469,0.000115,0.000000,0.000667,1.000000,-0.000015,-0.000001,-0.000000,-0.001068,-0.001066,0.000000,0.469802,-0.882772,2.080469,0.353224,0.187921,0.000667,1.000000,-0.000015,-0.000001,-0.000000,-0.001068,-0.001066,0.000000,-0.469802,0.882772,0.400000,-0.353109,-0.187921,0.000000
514178.334717,0,absolute,0.000000,0.000000,2.480469,0.000101,0.000093,0.000662,1.000000,-0.000006,0.000025,0.000000,-0.000051,-0.001068,0.000000,0.000000,0.000000,2.480469,0.000101,0.000093,0.000662,1.000000,-0.000006,0.000025,0.000000,-0.000051,-0.001068,0.000000,0.504726,-0.863279,2.080469,0.345413,0.201983,0.000662,1.000000,-0.000006,0.000025,0.000000,-0.000051,-0.001068,0.000000,-0.504726,0.863279,0.400000,-0.345312,-0.201890,0.000000
