solve_num,solve_time_ms,solve_iters,coord_mode,target_motion_source,node,t,theta,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,circle_center_x,circle_center_y,circle_center_z,circle_radius,circle_omega,circle_phi0,circle_t_abs,abs_x,abs_y,abs_z,abs_vx,abs_vy,abs_vz,abs_qw,abs_qx,abs_qy,abs_qz,abs_wx,abs_wy,abs_wz,fz,mx,my,mz,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,rel_qw,rel_qx,rel_qy,rel_qz,rel_wx,rel_wy,rel_wz
0,591.599900,372,absolute,odom+predicted_accel,0,0.000000,0.100568,0.110711,0.993853,0.400000,-0.397541,0.044285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.480469,-0.383702,0.168516,-0.260059,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.227987,-0.006396,0.004380,0.000458,-0.110711,-0.993853,2.080469,0.013839,0.124232,-0.260059,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,591.599900,372,absolute,odom+predicted_accel,1,0.100568,0.101097,0.070649,0.997501,0.400000,-0.399103,0.028271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.038595,0.016948,2.447407,-0.383855,0.168540,-0.397439,1.000000,-0.000016,0.000011,0.000001,-0.000643,0.000441,0.000026,0.250934,-0.005469,0.004471,0.000463,-0.109244,-0.980553,2.047407,0.015248,0.140269,-0.397439,1.000000,-0.000016,0.000011,0.000001,-0.000643,0.000441,0.000026
0,591.599900,372,absolute,odom+predicted_accel,2,0.201665,0.101252,0.030250,0.999543,0.400000,-0.400021,0.012123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.077406,0.033990,2.404590,-0.383966,0.168618,-0.449619,1.000000,-0.000063,0.000045,0.000003,-0.001196,0.000893,0.000053,0.261726,-0.003264,0.001334,0.000471,-0.107656,-0.965553,2.004590,0.016055,0.156494,-0.449619,1.000000,-0.000063,0.000045,0.000003,-0.001196,0.000893,0.000053
0,591.599900,372,absolute,odom+predicted_accel,3,0.302916,0.100879,-0.010270,0.999951,0.400000,-0.400286,-0.004074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.116284,0.051072,2.358468,-0.383992,0.168807,-0.461411,1.000000,-0.000132,0.000093,0.000006,-0.001527,0.001028,0.000080,0.265962,-0.001187,-0.001412,0.000478,-0.106014,-0.948880,1.958468,0.016295,0.172881,-0.461411,1.000000,-0.000132,0.000093,0.000006,-0.001527,0.001028,0.000080
0,591.599900,372,absolute,odom+predicted_accel,4,0.403796,0.100307,-0.050636,0.998726,0.400000,-0.399898,-0.020208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.155017,0.068116,2.312127,-0.383917,0.169142,-0.457331,1.000000,-0.000212,0.000142,0.000011,-0.001646,0.000885,0.000107,0.267394,0.000470,-0.003077,0.000483,-0.104381,-0.930610,1.912127,0.015981,0.189351,-0.457331,1.000000,-0.000212,0.000142,0.000011,-0.001646,0.000885,0.000107
0,591.599900,372,absolute,odom+predicted_accel,5,0.504103,0.099720,-0.090701,0.995896,0.400000,-0.398868,-0.036223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.193518,0.085106,2.266724,-0.383756,0.169633,-0.447954,1.000000,-0.000293,0.000178,0.000017,-0.001599,0.000576,0.000135,0.267769,0.001741,-0.003771,0.000486,-0.102817,-0.910790,1.866724,0.015112,0.205856,-0.447954,1.000000,-0.000293,0.000178,0.000017,-0.001599,0.000576,0.000135
0,591.599900,372,absolute,odom+predicted_accel,6,0.603822,0.099185,-0.130397,0.991492,0.400000,-0.397208,-0.052091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.231774,0.102052,2.222588,-0.383540,0.170270,-0.437249,1.000000,-0.000368,0.000198,0.000024,-0.001426,0.000200,0.000162,0.267782,0.002726,-0.003741,0.000488,-0.101377,-0.889440,1.822588,0.013669,0.222361,-0.437249,1.000000,-0.000368,0.000198,0.000024,-0.001426,0.000200,0.000162
0,591.599900,372,absolute,odom+predicted_accel,7,0.703007,0.098722,-0.169685,0.985546,0.400000,-0.394930,-0.067795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.269802,0.118978,2.179750,-0.383303,0.171037,-0.426550,1.000000,-0.000432,0.000198,0.000033,-0.001155,-0.000171,0.000190,0.267684,0.003514,-0.003208,0.000488,-0.100117,-0.866568,1.779750,0.011628,0.238831,-0.426550,1.000000,-0.000432,0.000198,0.000033,-0.001155,-0.000171,0.000190
0,591.599900,372,absolute,odom+predicted_accel,8,0.801729,0.098333,-0.208535,0.978086,0.400000,-0.392045,-0.083323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.307630,0.135905,2.138148,-0.383081,0.171904,-0.416261,1.000000,-0.000481,0.000182,0.000043,-0.000808,-0.000487,0.000217,0.267553,0.004169,-0.002344,0.000487,-0.099096,-0.842181,1.738148,0.008965,0.255227,-0.416261,1.000000,-0.000481,0.000182,0.000043,-0.000808,-0.000487,0.000217
0,591.599900,372,absolute,odom+predicted_accel,9,0.900063,0.098013,-0.246919,0.969137,0.400000,-0.388564,-0.098665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.345290,0.152855,2.097696,-0.382904,0.172838,-0.406490,1.000000,-0.000511,0.000153,0.000054,-0.000398,-0.000718,0.000245,0.267411,0.004740,-0.001273,0.000485,-0.098371,-0.816283,1.697696,0.005660,0.271503,-0.406490,1.000000,-0.000511,0.000153,0.000054,-0.000398,-0.000718,0.000245
