solve_num,solve_time_ms,solve_iters,coord_mode,node,t,theta,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,tgt_ax,tgt_ay,tgt_az,tgt_qw,tgt_qx,tgt_qy,tgt_qz,tgt_wx,tgt_wy,tgt_wz,tgt_alfx,tgt_alfy,tgt_alfz
0,162.483435,77,absolute_shifted,0,0.000000,0.119947,1.301363,1.497577,0.978655,0.032868,0.012849,-0.011809,0.999857,0.015711,0.005305,-0.003390,-0.007755,-0.011675,-0.101038,0.267918,4.678418,-5.605032,1.433311,-1.314582,-1.489064,0.509534,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,1,0.119947,0.119966,1.305537,1.496500,0.977997,0.028387,-0.037170,0.000443,0.999345,0.031901,-0.015616,-0.006926,0.552252,-0.684860,-0.003302,0.268398,-3.028972,3.371342,0.064271,-1.314582,-1.489064,0.509534,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,2,0.239912,0.119962,1.304994,1.486207,0.978625,-0.049025,-0.143033,0.008583,0.997518,0.053884,-0.044685,-0.007579,0.188818,-0.280465,0.001081,0.268255,-1.736168,1.968177,-0.019462,-1.314582,-1.489064,0.509534,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,3,0.359875,0.119961,1.292048,1.461036,0.979752,-0.170690,-0.278536,0.009594,0.996749,0.058874,-0.054439,-0.007860,-0.019448,-0.044352,-0.000246,0.267674,-0.917398,1.072679,-0.001666,-1.314582,-1.489064,0.509534,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,4,0.479836,0.119958,1.263731,1.419446,0.980744,-0.300920,-0.413117,0.007207,0.997066,0.054431,-0.053207,-0.008055,-0.129500,0.084329,-0.000360,0.267011,-0.419092,0.532021,0.002930,-1.314582,-1.489064,0.509534,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,5,0.599794,0.119954,1.220309,1.362623,0.981427,-0.420241,-0.530676,0.004807,0.997875,0.045237,-0.046176,-0.008186,-0.179771,0.148153,-0.000160,0.266418,-0.118955,0.200755,0.001718,-1.314582,-1.489064,0.509534,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,6,0.719748,0.119947,1.163748,1.293120,0.981905,-0.518982,-0.623810,0.003833,0.998717,0.034125,-0.036491,-0.008276,-0.194038,0.172236,-0.000043,0.265950,0.057285,0.003521,0.000481,-1.314583,-1.489065,0.509534,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,7,0.839695,0.119938,1.096787,1.214043,0.982366,-0.593383,-0.690298,0.004361,0.999366,0.022791,-0.026064,-0.008341,-0.187167,0.172659,-0.000010,0.265612,0.154826,-0.108844,0.000034,-1.314583,-1.489065,0.509533,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,8,0.959634,0.119927,1.022392,1.128565,0.982960,-0.643200,-0.730948,0.005861,0.999762,0.012211,-0.016016,-0.008393,-0.168597,0.159605,-0.000008,0.265388,0.202347,-0.167401,-0.000023,-1.314583,-1.489065,0.509533,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,9,1.079561,0.119913,0.943420,1.039649,0.983764,-0.670199,-0.748256,0.007693,0.999936,0.002906,-0.006970,-0.008433,-0.144330,0.139529,-0.000009,0.265254,0.218194,-0.191738,0.000008,-1.314583,-1.489065,0.509533,-0.000001,-0.000001,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,10,1.199474,0.119896,0.862451,0.949904,0.984785,-0.677203,-0.745545,0.009349,0.999952,-0.004898,0.000773,-0.008466,-0.118166,0.116537,-0.000009,0.265183,0.214355,-0.194569,0.000028,-1.314583,-1.489065,0.509533,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,11,1.319370,0.119874,0.781690,0.861517,0.985981,-0.667478,-0.726421,0.010527,0.999876,-0.011157,0.007113,-0.008492,-0.092465,0.093209,-0.000007,0.265152,0.198836,-0.184355,0.000029,-1.314583,-1.489066,0.509533,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,12,1.439243,0.119846,0.702945,0.776243,0.987283,-0.644355,-0.694441,0.011109,0.999764,-0.015943,0.012078,-0.008513,-0.068630,0.071110,-0.000005,0.265144,0.177014,-0.166779,0.000022,-1.314583,-1.489066,0.509533,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,13,1.559089,0.119811,0.627633,0.695426,0.988620,-0.610999,-0.652907,0.011115,0.999651,-0.019387,0.015768,-0.008530,-0.047416,0.051122,-0.000003,0.265146,0.152503,-0.145655,0.000014,-1.314583,-1.489066,0.509532,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,14,1.678901,0.119767,0.556807,0.620031,0.989927,-0.570279,-0.604765,0.010646,0.999561,-0.021658,0.018327,-0.008543,-0.029144,0.033671,-0.000002,0.265149,0.127667,-0.123509,0.000010,-1.314584,-1.489066,0.509532,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,15,1.798668,0.119711,0.491198,0.550697,0.991157,-0.524702,-0.552554,0.009837,0.999502,-0.022931,0.019910,-0.008554,-0.013854,0.018879,-0.000002,0.265147,0.103984,-0.101928,0.000006,-1.314584,-1.489066,0.509532,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,16,1.918380,0.119638,0.431259,0.487781,0.992275,-0.476399,-0.498402,0.008825,0.999476,-0.023381,0.020679,-0.008562,-0.001406,0.006677,-0.000001,0.265140,0.082340,-0.081897,0.000004,-1.314584,-1.489066,0.509532,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,17,2.038018,0.119544,0.377208,0.431410,0.993265,-0.427128,-0.444045,0.007729,0.999479,-0.023170,0.020783,-0.008569,0.008445,-0.003121,-0.000001,0.265126,0.063182,-0.063953,0.000004,-1.314584,-1.489067,0.509532,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,18,2.157561,0.119419,0.329076,0.381523,0.994123,-0.378304,-0.390856,0.006642,0.999504,-0.022443,0.020362,-0.008575,0.015998,-0.010766,-0.000001,0.265107,0.046637,-0.048294,0.000003,-1.314584,-1.489067,0.509532,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,19,2.276981,0.119254,0.286741,0.337916,0.994854,-0.331033,-0.339892,0.005627,0.999545,-0.021329,0.019538,-0.008579,0.021568,-0.016534,-0.000001,0.265083,0.032686,-0.034949,0.000001,-1.314584,-1.489067,0.509531,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,20,2.396235,0.119034,0.249967,0.300274,0.995469,-0.286150,-0.291934,0.004724,0.999595,-0.019937,0.018416,-0.008583,0.025466,-0.020701,-0.000000,0.265056,0.021168,-0.023830,0.000003,-1.314584,-1.489067,0.509531,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,21,2.515269,0.118736,0.218429,0.268204,0.995982,-0.244262,-0.247529,0.003949,0.999649,-0.018358,0.017087,-0.008586,0.027985,-0.023538,-0.000000,0.265028,0.011725,-0.014638,0.000003,-1.314584,-1.489067,0.509531,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,22,2.634005,0.118328,0.191745,0.241256,0.996410,-0.205780,-0.207030,0.003304,0.999702,-0.016669,0.015623,-0.008589,0.029378,-0.025276,-0.000000,0.265000,0.004563,-0.007549,-0.000000,-1.314585,-1.489068,0.509531,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,23,2.752333,0.117760,0.169491,0.218951,0.996768,-0.170959,-0.170635,0.002780,0.999752,-0.014928,0.014087,-0.008591,0.029918,-0.026169,-0.000000,0.264973,-0.000422,-0.002544,-0.000001,-1.314585,-1.489068,0.509531,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,24,2.870093,0.116955,0.151222,0.200793,0.997069,-0.139932,-0.138421,0.002363,0.999798,-0.013182,0.012522,-0.008592,0.029868,-0.026469,-0.000000,0.264948,-0.003413,0.000548,0.000000,-1.314585,-1.489068,0.509531,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,25,2.987048,0.115779,0.136482,0.186282,0.997324,-0.112742,-0.110382,0.002033,0.999837,-0.011460,0.010962,-0.008594,0.029469,-0.026405,-0.000000,0.264925,-0.005984,0.003169,-0.000001,-1.314585,-1.489068,0.509531,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,26,3.102827,0.114005,0.124815,0.174924,0.997543,-0.089377,-0.086453,0.001775,0.999871,-0.009788,0.009430,-0.008595,0.028776,-0.026038,-0.000000,0.264905,-0.010600,0.007659,-0.000001,-1.314585,-1.489068,0.509530,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
0,162.483435,77,absolute_shifted,27,3.216832,0.111233,0.115775,0.166238,0.997733,-0.069768,-0.066521,0.001572,0.999898,-0.008195,0.007957,-0.008596,0.027567,-0.025165,-0.000000,0.264888,-0.017736,0.014561,-0.000001,-1.314585,-1.489068,0.509530,-0.000001,-0.000002,-0.000001,-0.000000,-0.000000,-0.000000,0.875289,0.001845,-0.002258,-0.483592,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000
