solve_num,solve_time_ms,node,t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz
0,156.448439,0,0.000000,1.011670,0.996093,0.979901,-0.009636,-0.007664,0.000521,0.999998,0.001361,-0.001730,0.000000,0.000000,0.000000,0.000000,0.080000,9.540276,-9.360622,0.029508
0,156.448439,1,0.050000,1.011188,0.995710,0.979927,-0.010149,-0.008067,-0.341833,0.999998,0.001361,-0.001730,0.000000,0.477014,-0.468031,0.000839,0.080000,4.238841,-4.411335,0.005320
0,156.448439,2,0.100000,1.010681,0.995307,0.962836,-0.010661,-0.008470,-0.684186,0.999822,0.013284,-0.013429,0.000026,0.688971,-0.688583,0.000990,0.203131,0.426876,-0.564232,-0.002803
0,156.448439,3,0.150000,1.010148,0.994883,0.928626,-0.020762,-0.018462,-0.798787,0.999065,0.030496,-0.030631,0.000053,0.710340,-0.716768,0.000910,0.322437,-1.981894,1.992159,-0.001769
0,156.448439,4,0.200000,1.009109,0.993960,0.888687,-0.057306,-0.054849,-0.694412,0.997658,0.048223,-0.048518,0.000073,0.611271,-0.617136,0.000860,0.328301,-3.734238,3.709294,-0.003404
0,156.448439,5,0.250000,1.006244,0.991218,0.853966,-0.116158,-0.113352,-0.582638,0.995937,0.063454,-0.063895,0.000092,0.424579,-0.431651,0.000763,0.316726,-4.347167,4.382308,-0.003647
0,156.448439,6,0.300000,1.000436,0.985550,0.824835,-0.190800,-0.187492,-0.496119,0.994460,0.074017,-0.074634,0.000105,0.207233,-0.212524,0.000660,0.296872,-4.346711,4.372247,-0.003377
0,156.448439,7,0.350000,0.990896,0.976176,0.800029,-0.272399,-0.268433,-0.449006,0.993653,0.079166,-0.079916,0.000115,-0.010097,0.006094,0.000564,0.278539,-3.903169,3.935643,-0.002779
0,156.448439,8,0.400000,0.977276,0.962754,0.777578,-0.354310,-0.349594,-0.436748,0.993685,0.078914,-0.079766,0.000120,-0.205256,0.202876,0.000485,0.266027,-3.181630,3.223694,-0.002246
0,156.448439,9,0.450000,0.959561,0.945274,0.755741,-0.432397,-0.426865,-0.447010,0.994469,0.073812,-0.074726,0.000123,-0.364341,0.364057,0.000421,0.260354,-2.316758,2.363192,-0.001848
0,156.448439,10,0.500000,0.937941,0.923931,0.733390,-0.504046,-0.497655,-0.466011,0.995739,0.064746,-0.065671,0.000125,-0.480185,0.482211,0.000368,0.260387,-1.413473,1.457606,-0.001563
0,156.448439,11,0.550000,0.912739,0.899048,0.710090,-0.567101,-0.559838,-0.482514,0.997163,0.052783,-0.053662,0.000126,-0.550865,0.555084,0.000324,0.263976,-0.551185,0.587652,-0.001362
0,156.448439,12,0.600000,0.884384,0.871056,0.685964,-0.619410,-0.611303,-0.489709,0.998444,0.039041,-0.039819,0.000128,-0.578431,0.584460,0.000285,0.268901,0.213067,-0.187508,-0.001221
0,156.448439,13,0.650000,0.853413,0.840491,0.661479,-0.659000,-0.650130,-0.485342,0.999379,0.024595,-0.025227,0.000130,-0.567784,0.575078,0.000250,0.273449,0.842219,-0.828788,-0.001118
0,156.448439,14,0.700000,0.820463,0.807985,0.637212,-0.684530,-0.675027,-0.470712,0.999887,0.010405,-0.010858,0.000131,-0.525679,0.533634,0.000219,0.276626,1.316870,-1.315211,-0.001036
0,156.448439,15,0.750000,0.786237,0.774233,0.613676,-0.695652,-0.685688,-0.449174,0.999993,-0.002737,0.002479,0.000133,-0.459840,0.467869,0.000189,0.278107,1.632645,-1.641331,-0.000961
0,156.448439,16,0.800000,0.751454,0.739949,0.591217,-0.693099,-0.682868,-0.424675,0.999798,-0.014232,0.014172,0.000134,-0.378211,0.385799,0.000162,0.278064,1.797188,-1.814164,-0.000883
0,156.448439,17,0.850000,0.716799,0.705806,0.569984,-0.678509,-0.668212,-0.400657,0.999436,-0.023685,0.023812,0.000135,-0.288354,0.295088,0.000137,0.276954,1.826965,-1.849895,-0.000798
0,156.448439,18,0.900000,0.682874,0.672395,0.549951,-0.654101,-0.643928,-0.379437,0.999036,-0.030889,0.031182,0.000135,-0.197007,0.202592,0.000114,0.275319,1.744162,-1.770685,-0.000708
0,156.448439,19,0.950000,0.650169,0.640199,0.530979,-0.622339,-0.612457,-0.362051,0.998701,-0.035809,0.036241,0.000135,-0.109800,0.114057,0.000094,0.273642,1.573915,-1.601829,-0.000616
