timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz
200458.145895,0.690430,0.417475,0.200681,-0.100912,-0.172437,-0.169248,0.999938,-0.000261,-0.007612,-0.008099,0.116882,-0.377042,0.001406,0.268873,-0.014166,0.030793,0.016456
200458.196032,0.685385,0.408854,0.192219,-0.108490,-0.172116,-0.161893,0.999819,0.002584,-0.017060,-0.008039,0.116194,-0.375496,0.001874,0.275751,-0.428253,1.367457,0.012532
200458.246151,0.679960,0.400248,0.184124,-0.125931,-0.174615,-0.142047,0.999603,0.005412,-0.026468,-0.007967,0.094808,-0.307115,0.002230,0.276321,-0.646095,2.068170,0.009313
200458.296265,0.673664,0.391517,0.177022,-0.153053,-0.179936,-0.121588,0.999355,0.007719,-0.034161,-0.007889,0.062529,-0.203699,0.002495,0.273803,-0.722338,2.307593,0.006433
200458.504148,0.648143,0.352393,0.149597,-0.093359,-0.147325,-0.106140,0.999956,-0.003886,0.002220,-0.008271,0.084487,-0.272577,0.000684,0.251505,0.694082,-2.226384,0.019105
200458.554265,0.643475,0.345026,0.144290,-0.091262,-0.143722,-0.130909,0.999954,-0.001831,-0.004611,-0.008232,0.119198,-0.383894,0.001227,0.267932,0.015083,-0.042316,0.014956
200458.604392,0.638912,0.337840,0.137744,-0.095822,-0.141868,-0.125264,0.999865,0.001070,-0.014232,-0.008170,0.119970,-0.386004,0.001652,0.274624,-0.409108,1.314504,0.011542
200458.654525,0.634121,0.330747,0.131481,-0.110305,-0.142838,-0.107408,0.999674,0.003989,-0.023904,-0.008096,0.099539,-0.320271,0.001980,0.275358,-0.636826,2.040214,0.008812
200458.704634,0.628606,0.323605,0.126111,-0.134708,-0.146708,-0.088586,0.999437,0.006411,-0.031927,-0.008019,0.067722,-0.218253,0.002231,0.273090,-0.719086,2.302991,0.006743
200458.910590,0.605668,0.292756,0.104006,-0.085806,-0.114655,-0.072410,0.999965,-0.001277,-0.000002,-0.008247,0.073722,-0.245837,0.000449,0.253623,0.486535,-1.962891,0.019154
200458.960706,0.601377,0.287023,0.100386,-0.085798,-0.113455,-0.093239,0.999947,0.000515,-0.006162,-0.008228,0.098053,-0.343981,0.000993,0.267317,-0.117947,0.025851,0.019125
200459.010815,0.597088,0.281351,0.095724,-0.091903,-0.113915,-0.088746,0.999853,0.002895,-0.014781,-0.008192,0.092169,-0.342684,0.001537,0.272709,-0.449832,1.249645,0.017192
200459.060934,0.592492,0.275655,0.091286,-0.106854,-0.116716,-0.074459,0.999681,0.005128,-0.023365,-0.008144,0.069697,-0.280197,0.002026,0.273142,-0.595051,1.891910,0.014847
200459.111123,0.587150,0.269819,0.087563,-0.130525,-0.121710,-0.059719,0.999482,0.006812,-0.030381,-0.008089,0.039966,-0.185596,0.002448,0.271163,-0.616505,2.110260,0.012883
200459.320645,0.567055,0.243896,0.069395,-0.077089,-0.089058,-0.049016,0.999959,-0.003673,0.000502,-0.008311,0.075683,-0.235136,0.000836,0.254129,0.633022,-1.885549,0.026821
200459.370765,0.563200,0.239443,0.066944,-0.076588,-0.085605,-0.068919,0.999950,-0.001829,-0.005392,-0.008269,0.107342,-0.329411,0.001598,0.266662,0.039791,0.008626,0.024911
200459.420879,0.559371,0.235163,0.063498,-0.081898,-0.083754,-0.065633,0.999873,0.000786,-0.013649,-0.008200,0.109351,-0.328973,0.002306,0.271722,-0.329310,1.175499,0.023362
200459.470980,0.555276,0.230975,0.060217,-0.095639,-0.084432,-0.053132,0.999721,0.003451,-0.021894,-0.008111,0.092914,-0.270189,0.002970,0.272253,-0.529994,1.790601,0.021913
200459.521061,0.550494,0.226754,0.057560,-0.117737,-0.087732,-0.039956,0.999541,0.005716,-0.028665,-0.008009,0.066445,-0.180648,0.003593,0.270526,-0.608026,2.003080,0.020383
200459.731272,0.529679,0.203415,0.041340,-0.070096,-0.068714,-0.029881,0.999959,-0.003343,0.001427,-0.008274,0.069254,-0.228156,0.000981,0.254794,0.622224,-1.854195,0.030491
200459.781391,0.526174,0.199979,0.039846,-0.068724,-0.065570,-0.048553,0.999956,-0.001659,-0.004291,-0.008232,0.100374,-0.320863,0.001847,0.266155,0.074382,-0.017176,0.027148
200459.831500,0.522738,0.196701,0.037419,-0.072939,-0.063900,-0.046195,0.999890,0.000784,-0.012332,-0.008162,0.104116,-0.321715,0.002619,0.270840,-0.294866,1.129956,0.024264
200459.881605,0.519091,0.193506,0.035109,-0.085315,-0.064585,-0.035292,0.999754,0.003320,-0.020395,-0.008070,0.089404,-0.265207,0.003309,0.271410,-0.497670,1.725177,0.021606
200459.931718,0.514825,0.190276,0.033344,-0.105838,-0.067756,-0.023611,0.999587,0.005499,-0.027041,-0.007964,0.064554,-0.178937,0.003923,0.269858,-0.580714,1.930155,0.019003
200460.135540,0.495245,0.171051,0.019052,-0.064860,-0.049776,-0.013237,0.999964,-0.002152,-0.000352,-0.008193,0.066441,-0.204404,0.000924,0.256310,0.521976,-1.618253,0.030325
200460.185663,0.492002,0.168562,0.018390,-0.065177,-0.047731,-0.029093,0.999952,-0.000532,-0.005476,-0.008158,0.092547,-0.285315,0.001786,0.265854,-0.010961,0.042750,0.027399
200460.235774,0.488743,0.166176,0.016935,-0.070564,-0.047163,-0.027300,0.999886,0.001723,-0.012627,-0.008097,0.092018,-0.283171,0.002564,0.269672,-0.329703,1.053263,0.024039
200460.285901,0.485215,0.163818,0.015570,-0.083188,-0.048781,-0.018569,0.999765,0.003965,-0.019723,-0.008016,0.075560,-0.230499,0.003248,0.270023,-0.491124,1.576082,0.020598
200460.336115,0.481056,0.161379,0.014642,-0.102940,-0.052587,-0.009432,0.999627,0.005805,-0.025499,-0.007920,0.051033,-0.151685,0.003833,0.268683,-0.541199,1.747642,0.017338
200460.547147,0.478808,0.158012,0.015136,-0.031461,-0.015377,-0.012024,0.999950,-0.003258,0.002055,-0.009192,0.087646,-0.236220,0.001143,0.253307,0.756506,-1.892806,0.032547
200460.597280,0.477235,0.157243,0.014535,-0.029505,-0.012339,-0.033452,0.999950,-0.001121,-0.003870,-0.009149,0.125481,-0.330856,0.002068,0.265842,0.141208,-0.066344,0.027640
200460.647401,0.475759,0.156626,0.012862,-0.033305,-0.011200,-0.031668,0.999883,0.001940,-0.012169,-0.009075,0.132568,-0.334164,0.002854,0.270899,-0.296860,1.086377,0.024269
200460.697512,0.474094,0.156066,0.011279,-0.045531,-0.013036,-0.020655,0.999735,0.005177,-0.020552,-0.008979,0.117761,-0.279831,0.003544,0.271672,-0.562817,1.709441,0.021737
200460.747638,0.471818,0.155415,0.010246,-0.066251,-0.018058,-0.008510,0.999548,0.008055,-0.027572,-0.008866,0.089658,-0.194343,0.004161,0.270162,-0.686214,1.942052,0.019489
200460.949831,0.480845,0.159519,0.015018,0.000294,0.009456,-0.012126,0.999950,-0.003258,0.002056,-0.009192,0.118885,-0.261743,0.000914,0.250146,1.012733,-2.206672,0.032090
200460.999970,0.480860,0.159991,0.014412,0.002227,0.012456,-0.039406,0.999948,-0.000346,-0.004515,-0.009154,0.169530,-0.372072,0.001826,0.265840,0.091127,-0.127406,0.030531
200461.050063,0.480971,0.160614,0.012441,-0.002215,0.012838,-0.037630,0.999856,0.003807,-0.013854,-0.009085,0.174112,-0.378431,0.002694,0.272553,-0.486498,1.183070,0.027898
200461.100178,0.480861,0.161256,0.010560,-0.016233,0.009123,-0.023610,0.999654,0.008071,-0.023352,-0.008993,0.149826,-0.319260,0.003487,0.273600,-0.804484,1.901082,0.024789
200461.150293,0.480049,0.161712,0.009379,-0.039962,0.001159,-0.008062,0.999400,0.011741,-0.031364,-0.008883,0.109644,-0.224186,0.004191,0.271674,-0.932830,2.179827,0.021772
200461.357998,0.481294,0.159898,0.015003,0.008297,0.015801,-0.012155,0.999950,-0.003258,0.002056,-0.009192,0.118724,-0.273112,0.001112,0.249184,1.095581,-2.274501,0.032088
200461.408135,0.481709,0.160688,0.014395,0.010222,0.018790,-0.041217,0.999947,-0.000353,-0.004799,-0.009148,0.173514,-0.386832,0.002024,0.265869,0.171836,-0.105869,0.028090
200461.458256,0.482220,0.161627,0.012334,0.005500,0.019180,-0.039390,0.999846,0.003896,-0.014508,-0.009073,0.182136,-0.392112,0.002822,0.273026,-0.444772,1.251705,0.026105
200461.508369,0.482495,0.162586,0.010365,-0.009205,0.015374,-0.024513,0.999628,0.008358,-0.024349,-0.008974,0.159939,-0.329507,0.003564,0.274159,-0.810452,1.988025,0.025159
200461.558480,0.482035,0.163355,0.009139,-0.033996,0.007112,-0.007984,0.999353,0.012279,-0.032619,-0.008856,0.119461,-0.230084,0.004279,0.272117,-0.980615,2.267520,0.024600
200461.763215,0.481376,0.159929,0.015000,0.010212,0.017137,-0.012161,0.999950,-0.003258,0.002056,-0.009192,0.125596,-0.276598,0.001164,0.248737,1.091748,-2.300849,0.036826
200461.813322,0.481886,0.160786,0.014391,0.012133,0.020120,-0.042050,0.999946,-0.000182,-0.004888,-0.009147,0.180196,-0.391635,0.002211,0.265933,0.095046,-0.096130,0.034351
200461.863435,0.482493,0.161792,0.012289,0.007321,0.020343,-0.040105,0.999842,0.004233,-0.014718,-0.009067,0.184981,-0.396426,0.003187,0.273274,-0.547382,1.291040,0.032618
200461.913549,0.482859,0.162809,0.010284,-0.007612,0.016195,-0.024780,0.999617,0.008765,-0.024668,-0.008961,0.157660,-0.331852,0.004115,0.274398,-0.907061,2.052772,0.030877
200461.963671,0.482478,0.163618,0.009045,-0.032752,0.007515,-0.007832,0.999337,0.012628,-0.032996,-0.008833,0.112359,-0.229189,0.004992,0.272259,-1.048105,2.343065,0.028709
200462.169654,0.481449,0.160024,0.014999,0.010967,0.017930,-0.012178,0.999950,-0.003258,0.002056,-0.009192,0.117956,-0.277484,0.001614,0.248726,1.061044,-2.230761,0.043893
200462.219771,0.481998,0.160921,0.014390,0.012888,0.020914,-0.042087,0.999946,-0.000373,-0.004908,-0.009135,0.171025,-0.389015,0.002862,0.266033,0.121052,-0.009638,0.036321
200462.269886,0.482642,0.161966,0.012286,0.008056,0.021325,-0.039957,0.999844,0.003813,-0.014671,-0.009038,0.177120,-0.389479,0.003894,0.273310,-0.477716,1.344247,0.031254
200462.319997,0.483045,0.163033,0.010288,-0.006827,0.017600,-0.024560,0.999628,0.008151,-0.024445,-0.008913,0.153292,-0.322240,0.004783,0.274322,-0.792075,2.041638,0.026182
200462.370117,0.482704,0.163913,0.009060,-0.031729,0.009543,-0.007731,0.999361,0.011906,-0.032532,-0.008765,0.113746,-0.220130,0.005527,0.272124,-0.894245,2.257803,0.020034
200462.580596,0.481458,0.160034,0.014999,0.011204,0.018220,-0.012177,0.999950,-0.003258,0.002056,-0.009192,0.128181,-0.266995,0.000948,0.249266,1.123008,-2.281692,0.030889
200462.630710,0.482019,0.160945,0.014390,0.013129,0.021210,-0.041087,0.999947,-0.000115,-0.004648,-0.009153,0.184341,-0.381075,0.001826,0.265843,0.173185,-0.216360,0.024332
200462.680822,0.482675,0.162005,0.012336,0.008554,0.021365,-0.039307,0.999848,0.004406,-0.014216,-0.009084,0.193026,-0.391880,0.002517,0.272913,-0.429241,1.084035,0.015219
200462.730929,0.483103,0.163073,0.010370,-0.005854,0.017043,-0.024636,0.999628,0.009140,-0.024054,-0.008995,0.171602,-0.337660,0.002950,0.274107,-0.790564,1.810342,0.005872
200462.781059,0.482810,0.163925,0.009139,-0.030348,0.007986,-0.008203,0.999342,0.013350,-0.032530,-0.008895,0.132111,-0.247124,0.003117,0.272205,-0.938275,2.065127,-0.000506
